,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Ethiopia,23.2,43.2,20.4,2.5,22.7,39.0,46.4,59.4,16.3,79.0,44.2,97.7,98.6,66.1,58.0,44.8,45.4
Upper-middle-income Countries,74.3,68.4,66.0,84.9,66.3,66.4,63.3,68.0,34.5,26.5,69.8,89.8,89.3,58.2,53.3,61.6,49.3
Fiji,89.7,57.5,69.8,69.2,47.0,68.0,61.5,72.6,15.3,63.8,92.1,88.1,97.3,63.1,46.3,82.7,61.1
Namibia,39.7,48.0,31.5,67.0,69.3,53.4,50.6,59.6,1.9,0.0,76.4,88.1,85.3,70.0,72.5,67.3,69.3
Switzerland,99.8,73.1,91.3,96.3,70.0,90.6,79.4,78.8,74.5,86.9,97.0,62.6,56.6,62.0,64.2,82.5,47.2
Sierra Leone,12.7,46.3,16.9,25.2,33.2,40.6,15.8,58.1,0.1,63.4,36.6,98.5,99.2,61.9,50.2,64.1,56.4
Belize,63.8,56.1,65.1,58.1,54.3,64.1,70.6,61.1,1.6,30.3,67.6,89.9,91.7,59.4,51.2,72.2,55.9
Colombia,72.8,61.7,71.1,79.1,59.8,76.4,75.0,56.8,8.9,9.9,86.6,91.2,89.6,70.6,53.1,57.0,59.5
Pakistan,45.2,43.4,36.6,48.4,15.0,40.9,61.6,51.2,4.8,81.2,50.5,96.1,98.0,63.8,70.5,52.9,53.7
Bangladesh,36.1,49.1,37.2,44.9,30.4,60.4,45.4,68.6,8.1,79.9,35.3,97.6,98.6,63.1,53.7,58.5,39.9
"Yemen, Rep.",91.7,41.2,37.9,29.8,7.4,28.0,31.2,51.4,5.7,69.1,49.4,96.8,96.8,56.0,42.9,43.9,64.9
Trinidad and Tobago,99.0,56.2,68.2,75.2,58.5,68.2,51.5,69.8,11.5,30.3,67.7,71.8,89.4,52.9,55.3,66.2,50.7
Poland,99.7,68.9,77.7,91.6,62.7,80.6,66.5,70.9,29.6,74.3,83.6,80.3,73.6,62.1,76.7,80.9,59.8
Dominican Republic,83.6,59.1,61.2,68.5,62.3,67.6,66.0,70.9,7.8,26.4,79.0,88.4,90.8,72.1,46.0,57.0,46.5
Turkmenistan,91.8,55.5,62.5,81.3,57.9,54.0,56.6,55.3,5.9,80.9,82.5,88.4,69.4,58.9,64.0,72.4,42.9
Myanmar,45.2,52.4,38.0,46.4,54.3,55.3,53.1,60.9,3.2,76.8,48.5,97.5,98.7,56.3,51.5,68.3,33.7
Guinea,19.9,48.5,20.1,2.0,28.8,44.4,27.3,59.4,3.8,64.6,46.3,97.6,98.7,66.8,67.0,49.9,47.1
Moldova,94.5,54.2,65.9,99.7,61.8,69.0,64.6,61.4,5.9,88.2,65.2,86.3,90.6,58.9,57.0,63.6,67.8
Austria,99.5,73.6,84.7,93.2,61.9,92.4,79.8,83.0,64.2,95.0,86.2,57.3,51.8,62.0,70.9,89.4,66.3
Uzbekistan,28.6,55.0,65.9,71.3,56.0,54.0,59.1,62.6,9.6,84.5,75.6,96.6,90.3,58.9,64.6,62.5,54.4
