,Goal 1 Score,Goal 2 Score,Goal 3 Score,Goal 4 Score,Goal 5 Score,Goal 6 Score,Goal 7 Score,Goal 8 Score,Goal 9 Score,Goal 10 Score,Goal 11 Score,Goal 12 Score,Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
High-income Countries,99.3,71.3,85.6,93.8,64.2,78.4,70.4,77.9,69.0,72.5,86.8,68.3,47.9,56.3,63.2,78.9,64.8
Russian Federation,100.0,56.3,64.7,88.4,61.8,76.4,66.7,69.6,36.3,64.6,78.7,86.0,68.1,57.5,66.2,42.7,70.4
Trinidad and Tobago,99.0,56.2,68.2,75.2,58.5,68.2,51.5,69.8,11.5,30.3,67.7,71.8,89.4,52.9,55.3,66.2,50.7
East and South Asia,47.1,58.9,51.8,70.8,49.7,54.4,56.2,64.9,24.1,35.4,56.0,94.0,95.3,57.9,51.8,60.7,44.5
Slovenia,99.8,67.8,84.4,97.9,62.9,87.4,75.2,84.5,39.3,100.0,80.7,64.2,57.3,49.5,61.3,83.2,61.0
Qatar,91.7,71.9,72.7,84.8,48.9,54.1,56.5,71.7,15.0,76.0,31.3,76.3,0.0,64.9,54.4,87.0,34.4
China,64.8,74.1,65.5,98.0,72.0,60.2,58.1,70.1,37.3,29.6,64.3,91.8,93.8,56.7,50.1,62.2,31.9
Sao Tome and Principe,25.9,62.0,54.6,51.5,34.9,40.9,38.2,61.2,7.3,43.5,52.8,96.7,99.0,58.2,36.0,71.1,57.1
Lesotho,21.5,52.2,19.6,36.9,57.6,37.1,5.8,43.4,4.4,18.0,56.8,97.0,97.7,66.1,74.3,48.9,72.1
Saudi Arabia,91.7,54.7,76.7,65.8,16.7,54.9,64.8,66.0,19.0,76.0,51.0,74.6,51.9,65.5,52.1,69.0,62.7
Iceland,99.7,62.3,90.2,91.2,84.5,62.8,98.8,74.0,58.1,99.4,89.5,51.8,49.7,66.2,51.1,95.0,66.2
OECD members,96.8,70.2,83.7,90.7,62.7,83.3,70.4,75.5,64.1,63.5,85.3,71.5,54.5,57.5,61.4,75.7,63.7
Somalia,16.8,24.2,19.0,39.1,13.6,39.8,20.5,49.8,0.0,73.8,60.9,94.4,99.9,53.5,56.9,35.3,33.3
Finland,99.9,67.1,90.3,96.7,83.9,94.3,81.4,84.6,76.2,100.0,91.4,71.3,49.0,83.0,80.1,92.4,66.3
Bosnia and Herzegovina,99.6,61.5,71.1,37.5,29.7,73.8,62.3,63.0,7.7,85.0,78.6,86.9,87.5,70.1,62.7,71.7,74.9
Syrian Arab Republic,91.7,41.0,66.9,62.7,33.9,64.3,64.8,58.1,6.6,71.8,76.4,93.2,90.1,44.2,53.0,61.4,49.1
Afghanistan,91.4,35.9,20.7,1.6,20.9,32.7,31.5,33.2,2.1,80.9,26.4,97.8,99.2,58.9,51.8,44.9,35.7
Colombia,72.8,61.7,71.1,79.1,59.8,76.4,75.0,56.8,8.9,9.9,86.6,91.2,89.6,70.6,53.1,57.0,59.5
Oman,91.7,60.7,72.8,69.8,19.1,51.2,63.4,71.0,14.6,76.0,74.5,80.8,32.5,70.7,61.4,79.2,59.5
Barbados,92.3,55.9,76.1,91.2,65.6,46.8,92.8,68.7,11.3,30.3,74.6,70.3,88.7,61.4,67.3,82.6,80.1
